ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
36,London,Wimbledon,03/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Dimitrov G.,Moutet C.,21,69,2155,894,7,5,4,6,7,5,7,5,,,3,1,Completed,1.6,2.38,1.66,2.38,1.69,2.42,1.58,2.36
36,London,Wimbledon,03/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Davidovich Fokina A.,Van De Zandschulp B.,27,92,1845,670,6,1,4,6,6,3,7,6,,,3,1,Completed,1.3,3.6,1.33,3.66,1.34,3.8,1.3,3.53
36,London,Wimbledon,03/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Munar J.,Marozsan F.,55,58,1012,990,6,2,6,3,7,6,,,,,3,0,Completed,1.8,2,1.76,2.2,1.8,2.22,1.72,2.11
36,London,Wimbledon,03/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Struff J.L.,Auger-Aliassime F.,125,28,475,1825,3,6,7,6,6,3,6,4,,,3,1,Completed,3.25,1.33,3.38,1.37,3.5,1.38,3.14,1.36
36,London,Wimbledon,03/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Rinderknech A.,Garin C.,72,110,873,525,3,6,6,3,7,6,4,6,6,3,3,2,Completed,1.67,2.25,1.75,2.21,1.75,2.34,1.65,2.24
36,London,Wimbledon,03/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Djokovic N.,Evans D.,6,154,4630,375,6,3,6,2,6,0,,,,,3,0,Completed,1.06,9,1.06,13.92,1.06,16,1.05,10.96
36,London,Wimbledon,03/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Darderi L.,Fery A.,59,461,989,91,6,4,6,3,6,3,,,,,3,0,Completed,2.1,1.7,2.13,1.81,2.22,1.81,2.09,1.73
36,London,Wimbledon,03/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Holmgren A.,Machac T.,192,23,285,2110,7,6,6,7,6,7,7,5,7,6,3,2,Completed,5.5,1.15,6.76,1.14,6.8,1.17,5.63,1.14
36,London,Wimbledon,03/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Martinez P.,Navone M.,52,91,1030,670,7,5,7,5,7,6,,,,,3,0,Completed,2.63,1.5,2.71,1.53,2.78,1.56,2.61,1.5
36,London,Wimbledon,03/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Nakashima B.,Opelka R.,34,70,1650,877,7,5,6,2,6,7,6,3,,,3,1,Completed,1.4,3,1.42,3.14,1.45,3.15,1.42,2.89
36,London,Wimbledon,03/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Ofner S.,Paul T.,165,13,343,2970,1,6,7,5,6,4,7,5,,,3,1,Completed,5.5,1.15,6.3,1.16,6.4,1.17,5.42,1.15
36,London,Wimbledon,03/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Cilic M.,Draper J.,83,4,722,4650,6,4,6,3,1,6,6,4,,,3,1,Completed,6.5,1.12,7.4,1.13,8.4,1.13,6.55,1.11
36,London,Wimbledon,03/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Sonego L.,Basilashvili N.,47,126,1171,474,6,1,6,3,6,7,7,6,,,3,1,Completed,1.44,2.8,1.45,3,1.48,3,1.44,2.76
36,London,Wimbledon,03/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Sinner J.,Vukic A.,1,93,10430,664,6,1,6,1,6,3,,,,,3,0,Completed,1.01,17,,,1.02,46,1.01,21.54
36,London,Wimbledon,04/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Fucsovics M.,Monfils G.,105,48,564,1165,6,4,1,6,4,6,7,6,6,4,3,2,Completed,1.9,1.91,1.94,1.96,1.95,2.04,1.89,1.89
36,London,Wimbledon,04/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Shelton B.,Hijikata R.,10,87,3130,693,6,2,7,5,6,4,,,,,3,0,Completed,1.22,4.33,1.26,4.37,1.26,4.8,1.22,4.29
36,London,Wimbledon,04/07/2025,Grand Slam,Outdoor,Grass,3rd Round,5,Fritz T.,Davidovich Fokina A.,5,27,4635,1845,6,4,6,3,6,7,6,1,,,3,1,Completed,1.25,3.75,1.3,3.92,1.34,3.92,1.28,3.66
36,London,Wimbledon,04/07/2025,Grand Slam,Outdoor,Grass,3rd Round,5,Rublev A.,Mannarino A.,14,123,2920,477,7,5,6,2,6,3,,,,,3,0,Completed,1.25,3.75,1.3,3.96,1.31,4.1,1.27,3.77
36,London,Wimbledon,04/07/2025,Grand Slam,Outdoor,Grass,3rd Round,5,Norrie C.,Bellucci M.,61,73,952,864,7,6,6,4,6,3,,,,,3,0,Completed,1.57,2.3,1.6,2.5,1.63,2.56,1.56,2.41
36,London,Wimbledon,04/07/2025,Grand Slam,Outdoor,Grass,3rd Round,5,Thompson J.,Darderi L.,44,59,1200,989,6,4,6,4,3,6,6,3,,,3,1,Completed,1.67,2.1,1.79,2.15,1.82,2.2,1.71,2.11
36,London,Wimbledon,04/07/2025,Grand Slam,Outdoor,Grass,3rd Round,5,Majchrzak K.,Rinderknech A.,109,72,527,873,6,3,7,6,7,6,,,,,3,0,Completed,1.91,1.9,2.07,1.85,2.1,1.9,2,1.8
36,London,Wimbledon,04/07/2025,Grand Slam,Outdoor,Grass,3rd Round,5,Jarry N.,Fonseca J.,143,54,418,1016,6,3,6,4,3,6,7,6,,,3,1,Completed,2.9,1.4,3.05,1.43,3.05,1.48,2.81,1.42
